date1,price1,date2,price2
27/7/2021,2558,14/7/2021,6924.7708
28/7/2021,2566,15/7/2021,6894.2863
29/7/2021,2563,16/7/2021,6777.6588
30/7/2021,2569,19/7/2021,6739.8503
2/8/2021,2572,20/7/2021,6735.3548
3/8/2021,2599,21/7/2021,6771.6294
4/8/2021,2598,22/7/2021,6755.9804
5/8/2021,2617,23/7/2021,6652.1537
6/8/2021,2613,26/7/2021,6550.2009
9/8/2021,2604,27/7/2021,6365.7103
10/8/2021,2586,28/7/2021,6223.1136
11/8/2021,2577,29/7/2021,6311.0031
12/8/2021,2599,30/7/2021,6340.2355
13/8/2021,2614,2/8/2021,6562.2323
16/8/2021,2619,3/8/2021,6626.3259
17/8/2021,2600,4/8/2021,6654.671
18/8/2021,2597,5/8/2021,6681.1192
19/8/2021,2579,6/8/2021,6678.7381
20/8/2021,2551,9/8/2021,6877.865
23/8/2021,2559,10/8/2021,6918.882
24/8/2021,2579,11/8/2021,6848.3292
25/8/2021,2591,12/8/2021,6816.2201
26/8/2021,2594,13/8/2021,6840.2056
27/8/2021,2580,16/8/2021,6852.7109
30/8/2021,2564,17/8/2021,6671.2337
31/8/2021,2533,18/8/2021,6620.4969
1/9/2021,2518,19/8/2021,6558.6973
2/9/2021,2527,20/8/2021,6489.4528
3/9/2021,2574,23/8/2021,6568.337
6/9/2021,2565,24/8/2021,6587.6206
7/9/2021,2555,25/8/2021,6657.3321
8/9/2021,2550,26/8/2021,6507.0333
9/9/2021,2550,27/8/2021,6566.2695
10/9/2021,2557,30/8/2021,6614.312
13/9/2021,2555,31/8/2021,6660.986
14/9/2021,2548,1/9/2021,6657.3389
15/9/2021,2473,2/9/2021,6729.4407
16/9/2021,2451,3/9/2021,6804.3647
17/9/2021,2451,6/9/2021,6817.0738
22/9/2021,2466,7/9/2021,6912.6524
23/9/2021,2472,8/9/2021,6918.1724
24/9/2021,2484,9/9/2021,6929.4725
27/9/2021,2475,10/9/2021,6938.5165
28/9/2021,2479,13/9/2021,6941.6608
29/9/2021,2481,14/9/2021,6827.4758
30/9/2021,2497,15/9/2021,6871.1899
8/10/2021,2490,16/9/2021,6902.0453
11/10/2021,2502,17/9/2021,6907.6103
12/10/2021,2515,22/9/2021,6802.7701
13/10/2021,2532,23/9/2021,6844.9741
14/10/2021,2512,24/9/2021,6881.3826
15/10/2021,2525,27/9/2021,6947.0923
18/10/2021,2526,28/9/2021,6878.5883
19/10/2021,2525,29/9/2021,6866.2471
20/10/2021,2528,30/9/2021,6930.9541
21/10/2021,2542,8/10/2021,7132.7925
22/10/2021,2534,11/10/2021,7136.1704
25/10/2021,2561,12/10/2021,7061.4764
26/10/2021,2596,13/10/2021,7085.3956
27/10/2021,2592,14/10/2021,7014.2551
28/10/2021,2572,15/10/2021,6925.0839
29/10/2021,2587,18/10/2021,7021.5562
1/11/2021,2584,19/10/2021,7236.4732
2/11/2021,2597,20/10/2021,7150.3875
3/11/2021,2610,21/10/2021,7113.1526
4/11/2021,2645,22/10/2021,7118.0643
5/11/2021,2652,25/10/2021,7211.051
8/11/2021,2631,26/10/2021,7113.8299
9/11/2021,2690,27/10/2021,7130.9675
10/11/2021,2700,28/10/2021,7050.9564
11/11/2021,2671,29/10/2021,7291.0911
12/11/2021,2636,1/11/2021,7354.0857
15/11/2021,2653,2/11/2021,7369.8647
16/11/2021,2670,3/11/2021,7473.491
17/11/2021,2679,4/11/2021,7577.6251
18/11/2021,2677,5/11/2021,7406.4073
19/11/2021,2694,8/11/2021,7369.0359
22/11/2021,2682,9/11/2021,7438.0699
23/11/2021,2659,10/11/2021,7342.7729
24/11/2021,2635,11/11/2021,7389.6775
26/11/2021,2638,12/11/2021,7470.5566
29/11/2021,2658,15/11/2021,7421.8995
30/11/2021,2657,16/11/2021,7377.9202
1/12/2021,2660,17/11/2021,7350.6067
2/12/2021,2645,18/11/2021,7338.6622
3/12/2021,2670,19/11/2021,7313.7583
6/12/2021,2671,22/11/2021,7335.3741
7/12/2021,2650,23/11/2021,7277.7095
8/12/2021,2647,24/11/2021,7178.5383
9/12/2021,2660,25/11/2021,7149.5956
10/12/2021,2655,26/11/2021,7119.3652
13/12/2021,2645,29/11/2021,7116.0549
14/12/2021,2673,30/11/2021,7083.9112
15/12/2021,2675,1/12/2021,7118.3519
16/12/2021,2688,2/12/2021,7115.7722
17/12/2021,2674,3/12/2021,7209.6862
20/12/2021,2677,6/12/2021,7124.8491
21/12/2021,2665,7/12/2021,7160.3896
22/12/2021,2649,8/12/2021,7265.096
23/12/2021,2636,9/12/2021,7328.3134
24/12/2021,2637,10/12/2021,7347.3839
27/12/2021,2630,13/12/2021,7334.1676
28/12/2021,2625,14/12/2021,7279.1528
29/12/2021,2613,15/12/2021,7216.4815
30/12/2021,2604,16/12/2021,7229.7383
31/12/2021,2607,17/12/2021,7178.7431
4/1/2022,2605,20/12/2021,7101.3422
5/1/2022,2618,21/12/2021,7145.8109
6/1/2022,2633,22/12/2021,7250.5809
7/1/2022,2634,23/12/2021,7362.8409
10/1/2022,2630,24/12/2021,7403.0006
11/1/2022,2632,27/12/2021,7365.8499
12/1/2022,2635,28/12/2021,7387.0808
13/1/2022,2643,29/12/2021,7298.2329
14/1/2022,2625,30/12/2021,7310.7666
18/1/2022,2686,31/12/2021,7425.8329
19/1/2022,2689,4/1/2022,7621.4205
20/1/2022,2706,5/1/2022,7580.5936
21/1/2022,2708,6/1/2022,7527.6745
24/1/2022,2701,7/1/2022,7379.3133
25/1/2022,2709,10/1/2022,7597.5575
26/1/2022,2727,11/1/2022,7452.3841
27/1/2022,2730,12/1/2022,7514.9554
28/1/2022,2729,13/1/2022,7304.0226
,,14/1/2022,7243.6612
,,17/1/2022,7294.8713
,,18/1/2022,7275.2285
,,19/1/2022,7203.9651
,,20/1/2022,7258.972
,,21/1/2022,7091.5902
,,24/1/2022,7088.5158
,,25/1/2022,6844.2498
,,26/1/2022,6932.9696
,,27/1/2022,6782.2845
,,28/1/2022,6866.0113
,,7/2/2022,6992.9516
